Location_clean,Deprem_Sayisi,Ort_Buyukluk,Max_Buyukluk,Ort_Derinlik
TARLAAGZI-AMASRA (BARTIN) [NORTH WEST  10.0 KM],1,4.4,4.4,33.0
SURMELI-TUZLUCA (IGDIR) [NORTH EAST  4.0 KM],1,4.3,4.3,77.0
SUMAKLI-GEDIZ (KÜTAHYA) [NORTH EAST  2.0 KM],1,4.7,4.7,33.0
SUDOSEGI-SIMAV (KÜTAHYA) [SOUTH EAST  1.8 KM],1,4.8,4.8,23.0
SUDOSEGI-SIMAV (KÜTAHYA) [EAST 3.2 KM],1,4.5,4.5,11.0
SOGUTCUK-ILGAZ (ÇANKIRI) [NORTH EAST  1.1 KM],1,5.6,5.6,10.0
SOGUT-SIMAV (KÜTAHYA) [SOUTH WEST  1.9 KM],1,4.2,4.2,2.7
SOGUT-SIMAV (KÜTAHYA) [SOUTH WEST  0.7 KM],1,4.4,4.4,2.6
SOGUT-SIMAV (KÜTAHYA) [SOUTH EAST  2.7 KM],1,4.5,4.5,5.0
KIZILPINAR- (ÇORUM) [SOUTH EAST  2.6 KM],1,4.8,4.8,9.0
KAPIKAYA-SIMAV (KÜTAHYA) [SOUTH WEST  1.3 KM],1,4.2,4.2,5.0
KIZIK-CAVDARHISAR (KÜTAHYA) [SOUTH WEST  1.0 KM],1,4.2,4.2,10.0
CELTIKCI-GEDIZ (KÜTAHYA) [SOUTH EAST  0.4 KM],1,4.3,4.3,17.0
CUKURCA-KURSUNLU (ÇANKIRI) [SOUTH WEST  1.6 KM],1,4.9,4.9,10.0
CUBUKICI- (KÜTAHYA) [NORTH WEST  4.3 KM],1,4.3,4.3,10.0
COMERT-ILGAZ (ÇANKIRI) [NORTH WEST  2.2 KM],1,6.7,6.7,10.0
COMAKLAR-GEDIZ (KÜTAHYA) [SOUTH 1.9 KM],1,4.5,4.5,10.0
COMAKLAR-GEDIZ (KÜTAHYA) [NORTH WEST  1.7 KM],1,4.3,4.3,37.0
COBANLAR-TAVSANLI (KÜTAHYA) [NORTH WEST  2.1 KM],1,4.9,4.9,40.0
CIRCIR- (ÇANKIRI) [SOUTH EAST  3.5 KM],1,4.6,4.6,33.0
CINARKOPRU-BIGA (ÇANAKKALE) [NORTH EAST  4.6 KM],1,4.0,4.0,5.0
CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI),1,4.1,4.1,4.7
CERTE-EMET (KÜTAHYA) [WEST 2.9 KM],1,4.6,4.6,17.0
CAVDARHISAR (KÜTAHYA) [SOUTH WEST  2.4 KM],1,4.4,4.4,10.0
CUKUROREN-GEDIZ (KÜTAHYA) [NORTH WEST  2.0 KM],1,4.3,4.3,45.0
CATAK-OSMANCIK (ÇORUM) [SOUTH EAST  1.8 KM],1,4.1,4.1,19.0
CARSAMBA-DOMANIC (KÜTAHYA) [WEST 1.9 KM],1,5.2,5.2,50.0
CAMLIKOZ- (BAYBURT) [SOUTH 0.9 KM],1,4.2,4.2,10.1
CAMLIK-SIMAV (KÜTAHYA) [SOUTH WEST  6.7 KM],1,4.2,4.2,10.0
CAMLIK-SIMAV (KÜTAHYA) [NORTH WEST  1.6 KM],1,4.2,4.2,8.0
CAMIRDIK-ASLANAPA (KÜTAHYA) [NORTH EAST  1.6 KM],1,4.2,4.2,58.0
CAMDIBI-ASLANAPA (KÜTAHYA) [SOUTH EAST  1.4 KM],1,4.6,4.6,22.0
CAMDIBI-ASLANAPA (KÜTAHYA) [NORTH EAST  2.7 KM],1,4.3,4.3,9.0
CALCAAGIL-EMET (KÜTAHYA) [SOUTH EAST  1.3 KM],1,4.3,4.3,10.0
CAKRAZBUZ-AMASRA (BARTIN) [NORTH WEST  1.7 KM],1,4.2,4.2,33.0
CUKUROREN-GEDIZ (KÜTAHYA) [NORTH EAST  3.5 KM],1,4.2,4.2,40.0
CUKUROREN-GEDIZ (KÜTAHYA) [NORTH WEST  3.3 KM],1,5.1,5.1,44.0
CAKIRSAZ-ALTINTAS (KÜTAHYA) [SOUTH EAST  0.7 KM],1,4.0,4.0,37.0
DOMANIC (KÜTAHYA) [WEST 1.1 KM],1,4.8,4.8,10.0
EMET (KÜTAHYA) [SOUTH EAST  2.9 KM],1,4.9,4.9,35.0
EMET (KÜTAHYA) [SOUTH EAST  1.1 KM],1,4.7,4.7,23.0
EMET (KÜTAHYA) [SOUTH EAST  0.5 KM],1,5.3,5.3,16.0
EMET (KÜTAHYA) [NORTH WEST  2.3 KM],1,5.5,5.5,26.0
EGIRLER-SIMAV (KÜTAHYA) [SOUTH EAST  2.3 KM],1,4.1,4.1,11.0
EFENDIKOPRUSU-CAVDARHISAR (KÜTAHYA) [SOUTH WEST  2.3 KM],1,4.2,4.2,22.0
EFENDIKOPRUSU-CAVDARHISAR (KÜTAHYA) [SOUTH WEST  1.6 KM],1,4.9,4.9,42.0
DUSECEK-EMET (KÜTAHYA) [SOUTH WEST  2.7 KM],1,4.0,4.0,5.3
DUMLUPINAR (KÜTAHYA) [WEST 3.2 KM],1,4.6,4.6,18.0
DUMLUPINAR (KÜTAHYA) [NORTH EAST  1.7 KM],1,4.4,4.4,36.0
DOGASI- (BARTIN) [SOUTH EAST  1.7 KM],1,4.4,4.4,18.0
CUKUROREN-GEDIZ (KÜTAHYA) [NORTH WEST  4.1 KM],1,4.4,4.4,41.0
DOGANCILAR-CAVDARHISAR (KÜTAHYA) [SOUTH WEST  3.1 KM],1,4.4,4.4,43.0
DISBUDAK-LAPSEKI (ÇANAKKALE) [SOUTH WEST  0.2 KM],1,4.3,4.3,12.0
DALYAN-EZINE (ÇANAKKALE) [SOUTH WEST  7.6 KM],1,4.0,4.0,26.0
DAGTARLA-KURSUNLU (ÇANKIRI) [EAST 2.5 KM],1,4.8,4.8,10.0
DAGOBA-BAYRAMIC (ÇANAKKALE) [SOUTH 4.3 KM],1,4.3,4.3,29.0
DAGCUKUROREN-CERKES (ÇANKIRI) [NORTH WEST  1.2 KM],1,4.6,4.6,33.0
CULLU-GOLE (ARDAHAN) [NORTH EAST  1.2 KM],1,5.2,5.2,5.0
CUKUROREN-KORGUN (ÇANKIRI) [SOUTH WEST  3.6 KM],1,4.6,4.6,10.0
CUKUROREN-GEDIZ (KÜTAHYA) [WEST 2.9 KM],1,4.4,4.4,54.0
CUKUROREN-GEDIZ (KÜTAHYA) [SOUTH 4.0 KM],1,4.3,4.3,55.0
CAKMAK-ASLANAPA (KÜTAHYA) [SOUTH WEST  2.6 KM],1,4.0,4.0,41.0
CAKIRPINAR-SASON (BATMAN) [NORTH WEST  4.6 KM],1,4.8,4.8,40.0
ERDEK- (ÇORUM) [SOUTH EAST  0.8 KM],1,4.2,4.2,5.0
AKKAYA-GEDIZ (KÜTAHYA) [SOUTH 2.1 KM],1,4.7,4.7,48.0
ALINCIK-ALTINTAS (KÜTAHYA) [SOUTH EAST  4.2 KM],1,5.3,5.3,31.0
ALINCIK-ALTINTAS (KÜTAHYA) [SOUTH EAST  2.8 KM],1,4.4,4.4,35.0
ALINCIK-ALTINTAS (KÜTAHYA) [NORTH EAST  3.7 KM],1,4.6,4.6,25.0
ALIKAHYA-GEDIZ (KÜTAHYA) [NORTH WEST  1.8 KM],1,4.2,4.2,19.0
ALIC-ILGAZ (ÇANKIRI) [NORTH 2.1 KM],1,4.9,4.9,30.0
AKSAZ-SIMAV (KÜTAHYA) [SOUTH WEST  2.0 KM],1,4.2,4.2,37.0
AKPINAR-CAVDARHISAR (KÜTAHYA) [NORTH EAST  1.2 KM],1,5.1,5.1,31.0
AKKUYU-SULAKYURT (KIRIKKALE) [NORTH WEST  1.8 KM],1,5.5,5.5,10.0
AKKONAK-AMASRA (BARTIN) [NORTH WEST  8.4 KM],1,4.9,4.9,10.0
AKKAYA-GEDIZ (KÜTAHYA) [SOUTH WEST  1.8 KM],1,4.1,4.1,27.0
AKKAYA-GEDIZ (KÜTAHYA) [NORTH WEST  1.9 KM],1,4.8,4.8,34.0
ALLIOREN-DUMLUPINAR (KÜTAHYA) [SOUTH WEST  1.9 KM],1,4.4,4.4,37.0
AKCIL-CILDIR (ARDAHAN) [NORTH EAST  24.2 KM],1,4.6,4.6,26.0
AKCIL-CILDIR (ARDAHAN) [EAST 20.4 KM],1,5.7,5.7,60.0
AKCASU-ISKILIP (ÇORUM) [EAST 1.0 KM],1,5.3,5.3,80.0
AKCAKENT- (AKSARAY) [SOUTH WEST  6.0 KM],1,4.0,4.0,5.0
AKCAKENT- (AKSARAY) [SOUTH WEST  5.4 KM],1,4.2,4.2,6.4
AKCAKENT- (AKSARAY) [SOUTH WEST  4.9 KM],1,4.3,4.3,5.7
AHMETLI-SIMAV (KÜTAHYA) [SOUTH WEST  3.2 KM],1,4.4,4.4,49.0
AHMETLER-BIGA (ÇANAKKALE) [WEST 0.4 KM],1,4.0,4.0,9.7
ABIDE-GEDIZ (KÜTAHYA) [SOUTH WEST  0.7 KM],1,4.4,4.4,55.0
ABDULLAH-KARGI (ÇORUM) [SOUTH EAST  2.0 KM],1,4.5,4.5,8.5
ALLIOREN-DUMLUPINAR (KÜTAHYA) [SOUTH EAST  1.4 KM],1,4.9,4.9,32.0
ALLIOREN-DUMLUPINAR (KÜTAHYA) [SOUTH WEST  2.3 KM],1,4.3,4.3,20.0
CAKIROBA-YENICE (ÇANAKKALE) [NORTH EAST  0.9 KM],1,4.6,4.6,60.0
BANDIRMA KÖRFEZI (MARMARA DENIZI),1,4.0,4.0,9.4
CAKILLI-TAVSANLI (KÜTAHYA) [SOUTH EAST  3.2 KM],1,4.6,4.6,38.0
BUYUKASLIHANLAR-DUMLUPINAR (KÜTAHYA) [NORTH 1.6 KM],1,4.4,4.4,29.0
BOZLAR-BIGA (ÇANAKKALE) [NORTH EAST  8.3 KM],1,4.2,4.2,12.1
BOZLAR-BIGA (ÇANAKKALE) [NORTH EAST  3.1 KM],1,4.4,4.4,17.0
BOZLAR-BIGA (ÇANAKKALE) [NORTH EAST  2.6 KM],1,4.9,4.9,12.0
BOGAZKAYA-BAYRAMOREN (ÇANKIRI) [SOUTH EAST  1.7 KM],1,4.2,4.2,6.4
BEKTEN-YENICE (ÇANAKKALE) [NORTH EAST  2.0 KM],1,4.3,4.3,26.0
BEHRAM-AYVACIK (ÇANAKKALE) [EAST 3.1 KM],1,4.1,4.1,28.0
BASKOZ-YENICE (ÇANAKKALE) [NORTH WEST  0.9 KM],1,4.9,4.9,10.0
BASARAN-ESKIL (AKSARAY) [SOUTH WEST  3.8 KM],1,4.9,4.9,30.0
BALCI-ILGAZ (ÇANKIRI) [NORTH EAST  0.6 KM],1,4.9,4.9,60.0
AMASRA (BARTIN) [NORTH 7.0 KM],1,6.1,6.1,5.0
BAKIRLI-SABANOZU (ÇANKIRI) [EAST 3.6 KM],1,4.9,4.9,70.0
BAHCELI-BIGA (ÇANAKKALE) [NORTH EAST  0.6 KM],1,4.1,4.1,5.0
BAHATLAR-EMET (KÜTAHYA) [SOUTH WEST  1.8 KM],1,4.6,4.6,25.0
BAHATLAR-EMET (KÜTAHYA) [NORTH WEST  3.0 KM],1,4.7,4.7,28.0
BAHATLAR-EMET (KÜTAHYA) [NORTH WEST  2.1 KM],1,5.2,5.2,33.0
BADEMLI AÇIKLARI-ÇANAKKALE (EGE DENIZI),1,4.9,4.9,40.0
ASAGIOZ-YAPRAKLI (ÇANKIRI) [NORTH EAST  0.9 KM],1,4.4,4.4,17.0
ASAGIERHACI- (IGDIR) [SOUTH EAST  7.7 KM],1,4.2,4.2,5.0
ARMENIA,1,4.6,4.6,11.2
AMASRA (BARTIN) [NORTH WEST  8.4 KM],1,4.5,4.5,14.0
ERDEK KÖRFEZI (MARMARA DENIZI),1,6.0,6.0,30.0
ERDEK- (ÇORUM) [SOUTH WEST  0.2 KM],1,4.5,4.5,8.5
KIZIK-CAVDARHISAR (KÜTAHYA) [NORTH 0.8 KM],1,7.0,7.0,18.0
INLICE-SIMAV (KÜTAHYA) [WEST 2.0 KM],1,4.6,4.6,2.9
KALKAN-SIMAV (KÜTAHYA) [NORTH EAST  1.7 KM],1,4.2,4.2,4.4
KALEYOLU-SASON (BATMAN) [NORTH EAST  4.8 KM],1,4.6,4.6,30.0
KADIKISLAK- (IGDIR) [NORTH 8.4 KM],1,4.9,4.9,20.0
KABALI-YENICE (ÇANAKKALE) [NORTH EAST  2.2 KM],1,4.7,4.7,10.0
KABAKLAR-EMET (KÜTAHYA) [NORTH WEST  4.8 KM],1,4.3,4.3,33.0
KABAKLAR-EMET (KÜTAHYA) [NORTH WEST  3.7 KM],1,4.8,4.8,14.0
KABAKLAR-EMET (KÜTAHYA) [NORTH EAST  3.5 KM],1,4.5,4.5,20.0
KABAKLAR-EMET (KÜTAHYA) [NORTH 5.7 KM],1,4.9,4.9,33.0
IZMIT KÖRFEZI (MARMARA DENIZI),1,4.3,4.3,10.0
ISKENDERKOY-BIGA (ÇANAKKALE) [SOUTH EAST  0.6 KM],1,4.2,4.2,17.0
INLICE-SIMAV (KÜTAHYA) [SOUTH WEST  2.4 KM],1,4.3,4.3,9.2
KAPIKAYA-SIMAV (KÜTAHYA) [SOUTH 1.5 KM],1,4.5,4.5,8.6
INLICE-SIMAV (KÜTAHYA) [SOUTH EAST  0.3 KM],1,4.0,4.0,5.0
INLICE-SIMAV (KÜTAHYA) [NORTH WEST  3.9 KM],1,4.4,4.4,5.9
INLICE-SIMAV (KÜTAHYA) [NORTH WEST  3.6 KM],1,4.0,4.0,5.3
INLICE-SIMAV (KÜTAHYA) [NORTH WEST  3.5 KM],1,4.8,4.8,5.3
INLICE-SIMAV (KÜTAHYA) [NORTH WEST  2.3 KM],1,4.9,4.9,10.5
INLICE-SIMAV (KÜTAHYA) [NORTH WEST  2.0 KM],1,4.7,4.7,6.1
INCECAY-KARGI (ÇORUM) [WEST 1.6 KM],1,4.3,4.3,33.0
INCEBOGAZ-ESKIPAZAR (KARABÜK) [WEST 0.3 KM],1,5.0,5.0,20.0
IKIZOREN-YAPRAKLI (ÇANKIRI) [SOUTH EAST  1.1 KM],1,4.9,4.9,10.0
IKIBASLI-EMET (KÜTAHYA) [NORTH 2.9 KM],1,4.8,4.8,33.0
KAPAKLI-ARMUTLU (YALOVA) [SOUTH EAST  2.1 KM],1,4.1,4.1,7.7
ABDIAGA-BIGA (ÇANAKKALE) [SOUTH EAST  0.9 KM],1,4.1,4.1,12.0
IGDEKOY-EMET (KÜTAHYA) [NORTH WEST  1.6 KM],1,4.8,4.8,36.0
KAYADIBI- (BARTIN) [EAST 2.0 KM],1,4.0,4.0,4.5
KIYISIN-ILGAZ (ÇANKIRI) [WEST 0.5 KM],1,4.6,4.6,13.0
KISAC-CERKES (ÇANKIRI) [SOUTH WEST  0.6 KM],1,4.9,4.9,10.0
KIRGIL-EMET (KÜTAHYA) [NORTH 3.3 KM],1,4.5,4.5,33.0
KICIR-SIMAV (KÜTAHYA) [NORTH EAST  2.8 KM],1,4.2,4.2,38.0
KIBRIS-TUZLA,1,4.6,4.6,71.0
KIBRIS-LEFKOSA,1,4.6,4.6,30.0
KIBRIS-GAZIMAGUSA,1,6.1,6.1,100.0
KEVENLI-KESKIN (KIRIKKALE) [NORTH EAST  1.2 KM],1,4.9,4.9,10.0
KEPEZ- (ÇANAKKALE) [NORTH EAST  0.8 KM],1,4.7,4.7,90.0
KAYIOREN-ORTA (ÇANKIRI) [SOUTH WEST  2.2 KM],1,4.2,4.2,10.0
KAVALLI-SILOPI (SIRNAK) [WEST 0.9 KM],1,4.3,4.3,4.7
KAPIKAYA-SIMAV (KÜTAHYA) [SOUTH WEST  1.9 KM],1,4.0,4.0,4.5
KAVAKLI-ILGAZ (ÇANKIRI) [NORTH EAST  0.4 KM],1,5.1,5.1,10.0
KARBASAN-HISARCIK (KÜTAHYA) [SOUTH WEST  2.4 KM],1,4.3,4.3,30.0
KARBASAN-HISARCIK (KÜTAHYA) [SOUTH EAST  1.3 KM],1,4.2,4.2,16.0
KARATAS-BAYRAMOREN (ÇANKIRI) [SOUTH WEST  0.8 KM],1,4.8,4.8,60.0
KARASU-YENICE (ÇANAKKALE) [SOUTH EAST  1.5 KM],1,4.9,4.9,20.0
KARASU- (BARTIN) [NORTH WEST  1.3 KM],1,4.4,4.4,33.0
KARALLI-KIZILIRMAK (ÇANKIRI) [SOUTH WEST  1.0 KM],1,4.7,4.7,22.0
KARALARGUNEY-OSMANCIK (ÇORUM) [SOUTH WEST  0.8 KM],1,5.3,5.3,10.0
KARAKOY-DOMANIC (KÜTAHYA) [NORTH 1.3 KM],1,5.1,5.1,50.0
KARACAOREN-SIMAV (KÜTAHYA) [SOUTH WEST  0.6 KM],1,4.4,4.4,8.0
IHSANIYE- (KÜTAHYA) [SOUTH WEST  1.4 KM],1,4.1,4.1,53.0
IDRISKORU-BIGA (ÇANAKKALE) [NORTH EAST  1.9 KM],1,4.1,4.1,7.0
ERIM-POSOF (ARDAHAN) [NORTH 36.2 KM],1,4.1,4.1,6.1
FETHIYE KORFEZI (AKDENIZ),1,4.1,4.1,5.0
GOKCELER-SIMAV (KÜTAHYA) [NORTH WEST  2.3 KM],1,4.9,4.9,8.8
GOKCELER-SIMAV (KÜTAHYA) [NORTH WEST  1.9 KM],1,4.5,4.5,5.0
GOKCELER-SIMAV (KÜTAHYA) [NORTH EAST  1.5 KM],1,4.6,4.6,5.6
GOKCELER-SIMAV (KÜTAHYA) [NORTH EAST  1.3 KM],1,5.0,5.0,7.6
GOKCELER-SIMAV (KÜTAHYA) [NORTH EAST  0.9 KM],1,4.1,4.1,5.0
GOKCELER-SIMAV (KÜTAHYA) [NORTH EAST  0.3 KM],1,4.4,4.4,5.4
GERIS- (BARTIN) [NORTH EAST  1.1 KM],1,4.1,4.1,10.0
GENISLER-ALTINTAS (KÜTAHYA) [SOUTH WEST  2.4 KM],1,4.4,4.4,21.0
GEMLIK KORFEZI (MARMARA DENIZI),1,5.1,5.1,5.3
FETHIYE KÖRFEZI (AKDENIZ),1,4.8,4.8,30.0
EYIDEMIR-DUMLUPINAR (KÜTAHYA) [SOUTH EAST  2.8 KM],1,4.4,4.4,34.0
GOKCELER-SIMAV (KÜTAHYA) [SOUTH EAST  1.2 KM],1,4.0,4.0,10.2
EYIDEMIR-DUMLUPINAR (KÜTAHYA) [SOUTH EAST  2.6 KM],1,4.6,4.6,29.0
EYIDEMIR-DUMLUPINAR (KÜTAHYA) [NORTH WEST  2.3 KM],1,4.5,4.5,49.0
EYIDEMIR-DUMLUPINAR (KÜTAHYA) [NORTH EAST  1.0 KM],1,5.0,5.0,32.0
ESKIHAMUR-BESIRI (BATMAN) [SOUTH WEST  2.7 KM],1,5.1,5.1,33.0
ESKIBEYREHATUN-CILDIR (ARDAHAN) [SOUTH EAST  3.8 KM],1,4.2,4.2,30.0
ESENKOY-CINARCIK (YALOVA) [SOUTH EAST  3.0 KM],1,4.6,4.6,7.3
ESENKOY-CINARCIK (YALOVA) [SOUTH EAST  2.7 KM],1,4.3,4.3,12.1
ERKEC-OVACIK (KARABÜK) [NORTH WEST  0.9 KM],1,4.9,4.9,30.0
ERIM-POSOF (ARDAHAN) [NORTH WEST  38.6 KM],1,5.3,5.3,7.0
ERIM-POSOF (ARDAHAN) [NORTH WEST  37.3 KM],1,4.5,4.5,17.7
GOKCELER-SIMAV (KÜTAHYA) [SOUTH 1.1 KM],1,4.5,4.5,23.0
GOKCELER-SIMAV (KÜTAHYA) [SOUTH WEST  1.1 KM],1,4.2,4.2,8.3
HISARKOY-KURUCASILE (BARTIN) [NORTH 5.6 KM],1,4.1,4.1,10.0
GUNMEC-YAPRAKLI (ÇANKIRI) [NORTH WEST  0.8 KM],1,4.1,4.1,33.0
HAYRIYE-ARMUTLU (YALOVA) [WEST 2.3 KM],1,4.2,4.2,18.0
HASANLAR-HISARCIK (KÜTAHYA) [SOUTH WEST  1.1 KM],1,4.4,4.4,23.0
HASANLAR-HISARCIK (KÜTAHYA) [SOUTH 0.7 KM],1,4.4,4.4,10.0
HAMIDIYE- (KARAMAN) [SOUTH EAST  3.6 KM],1,4.5,4.5,6.0
HACIBABA-GEDIZ (KÜTAHYA) [SOUTH WEST  2.2 KM],1,4.5,4.5,18.0
HACIBABA-GEDIZ (KÜTAHYA) [SOUTH EAST  1.1 KM],1,4.3,4.3,43.0
HACIALI- (ARDAHAN) [SOUTH EAST  3.5 KM],1,4.2,4.2,3.6
HACIAHMETOGLU-SIMAV (KÜTAHYA) [SOUTH WEST  1.6 KM],1,4.0,4.0,10.0
GÜLPINAR AÇIKLARI-ÇANAKKALE (EGE DENIZI),1,4.4,4.4,10.0
GUVEMALANI-BIGA (ÇANAKKALE) [NORTH WEST  2.3 KM],1,6.0,6.0,20.0
GUNLUCE-EMET (KÜTAHYA) [SOUTH EAST  3.4 KM],1,4.3,4.3,25.0
GONCEK-EMET (KÜTAHYA) [SOUTH EAST  0.2 KM],1,4.4,4.4,24.0
GUMUSHANE,1,4.3,4.3,5.0
GUMELE-GEDIZ (KÜTAHYA) [SOUTH WEST  1.3 KM],1,4.4,4.4,10.0
GULPINAR-AYVACIK (ÇANAKKALE) [NORTH WEST  6.3 KM],1,4.0,4.0,24.0
GULDUREN-HISARCIK (KÜTAHYA) [EAST 1.3 KM],1,4.9,4.9,12.0
GOYNUK-GEDIZ (KÜTAHYA) [WEST 3.3 KM],1,4.8,4.8,10.0
GOYNUK-GEDIZ (KÜTAHYA) [NORTH WEST  1.1 KM],1,4.7,4.7,33.0
GOYNUK-GEDIZ (KÜTAHYA) [NORTH EAST  6.4 KM],1,4.3,4.3,37.0
GOYNUK-GEDIZ (KÜTAHYA) [NORTH EAST  6.1 KM],1,4.8,4.8,13.0
GORUMLU-SILOPI (SIRNAK) [NORTH WEST  3.8 KM],1,4.6,4.6,9.0
GONCEK-EMET (KÜTAHYA) [SOUTH EAST  1.0 KM],1,4.4,4.4,26.0
ÜVECIK AÇIKLARI-ÇANAKKALE (EGE DENIZI),1,5.1,5.1,80.0
